Add Date,Ex-factory,Client Code,Client,Trim Size,Format,PP,Signature,Illustration,Binding Cat.,Binding,Job Amount,Invoiced Amount,Cost Price,Job Qty,Fold,Bind,Lam?,Foil?,UV?,Emboss?,Lam,Foil,Emboss,Spot UV,Text Stock Code 
5/01/2015 11:22,5/01/2015,clientB,AU,198x128,B,336,"48pp, 288pp",N,PB,PERFECT,"8,343.00","8,449.10","8,058.16","10,000",N/A ,Done,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBSH-0855-065
5/01/2015 13:13,5/01/2015,clientB,AU,198x128,B,336,"288pp, 48pp",N,PB,PERFECT,"5,098.00","5,178.95","4,903.46","5,000",N/A ,Done,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBSH-0855-065
5/01/2015 13:46,5/01/2015,clientA,Australia Pty Ltd,233x154,C,328,328pp,N,PB,PERFECT,0,72.08,426.37,150,N/A ,Done,FALSE,FALSE,FALSE,FALSE,N/A ,N/A ,N/A ,N/A ,NORBOW-0320-073
5/01/2015 15:33,5/01/2015,clientA,Australia Pty Ltd,198x129,B,352,"288pp, 64pp",N,PB,PERFECT,"10,012.00","10,163.75","6,309.14","5,000",N/A ,Done,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBSH-1140-055
5/01/2015 15:59,5/01/2015,clientA,Australia Pty Ltd,198x129,B,144,144pp,N,PB,PERFECT,"1,094.00","1,094.00",738.59,"1,000",N/A ,N/A ,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBO-0980-050
6/01/2015 6:37,6/01/2015,clientA,Australia Pty Ltd,198x129,B,144,144pp,N,PB,PERFECT,"7,424.97","7,605.04","4,293.89","7,000",N/A ,Done,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBSH-0855-055
6/01/2015 7:14,6/01/2015,clientA,Australia Pty Ltd,198x129,B,152,"72pp, 48pp, 32pp",N,PB,PERFECT,"7,496.02","7,577.60","4,774.17","7,000",N/A ,Done,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBSH-1140-055
6/01/2015 7:37,6/01/2015,clientA,Australia Pty Ltd,198x129,B,256,256pp,N,PB,PERFECT,"2,012.00","2,087.70","1,431.53","1,000",N/A ,N/A ,TRUE,FALSE,FALSE,FALSE,N/A ,N/A ,N/A ,N/A ,NORBSH-0980-055
6/01/2015 8:44,6/01/2015,clientA,Australia Pty Ltd,233x154,C,288,288pp,N,PB,PERFECT,"3,993.00","4,182.75","3,470.71","1,500",N/A ,Done,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBOW-0980-073
6/01/2015 9:33,6/01/2015,clientA,Australia Pty Ltd,198x129,B,184,184pp,N,PB,PERFECT,"1,511.00","1,567.50",942.39,"1,000",N/A ,N/A ,TRUE,FALSE,FALSE,FALSE,Done,N/A ,N/A ,N/A ,NORBSH-0980-055
